                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0047,                 3.4002,                 1.1112,                0.00446,                0.51786,                0.16051,                0.10911,                0.65957,                 3.5339,                0.96296,                      0,                      0,                      0
                      1,                 0.9171,                 3.4232,                 1.0809,                0.00448,                0.51786,                0.12265,                0.08302,                0.66323,                 3.5293,                0.96318,             1.4219e-05,             1.4219e-05,             1.4219e-05
                      2,                0.75413,                 3.4122,                 1.0441,                0.00445,                0.51786,                0.18164,                0.13042,                0.66512,                 3.5286,                0.96457,             2.8297e-05,             2.8297e-05,             2.8297e-05
                      3,                 1.0522,                 3.4495,                 1.0435,                0.00443,                0.51786,                0.17958,                 0.1319,                0.63014,                 3.5267,                0.94758,             4.2233e-05,             4.2233e-05,             4.2233e-05
                      4,                0.73411,                  3.327,                 1.0007,                0.00442,                0.51786,                0.31899,                0.27239,                 0.6147,                 3.5199,                0.93057,             5.6028e-05,             5.6028e-05,             5.6028e-05
                      5,                0.96838,                 3.3127,                  1.134,                0.00462,                0.51786,                0.38856,                0.34335,                0.60923,                  3.509,                0.91614,             6.9682e-05,             6.9682e-05,             6.9682e-05
                      6,                0.72833,                 3.1414,                 1.0293,                0.00663,                0.54464,                 0.4151,                0.35179,                0.61896,                 3.5001,                0.90959,             8.3194e-05,             8.3194e-05,             8.3194e-05
                      7,                0.74824,                 3.0282,                0.98922,                0.00716,                0.54464,                0.45194,                0.39038,                0.63038,                  3.483,                0.90124,             9.6564e-05,             9.6564e-05,             9.6564e-05
                      8,                0.73576,                 2.9961,                0.93322,                0.00993,                0.58036,                0.45375,                 0.3988,                0.62242,                 3.4558,                0.88956,             0.00010979,             0.00010979,             0.00010979
                      9,                0.70836,                 2.7778,                0.94199,                0.01208,                0.59821,                0.44018,                0.38617,                0.60571,                 3.4018,                0.86751,             0.00012288,             0.00012288,             0.00012288
                     10,                 0.6521,                 2.4367,                0.95045,                0.01436,                0.60714,                0.45539,                0.41572,                0.58402,                 3.3436,                0.85761,             0.00013583,             0.00013583,             0.00013583
                     11,                0.64905,                 2.2607,                  1.018,                0.01805,                0.63393,                0.46861,                0.42366,                0.57932,                 3.2914,                0.85736,             0.00014863,             0.00014863,             0.00014863
                     12,                 0.7165,                 2.0733,                0.94699,                0.02058,                0.63393,                0.46811,                0.41674,                0.59109,                  3.222,                0.86193,             0.00016129,             0.00016129,             0.00016129
                     13,                 0.6971,                 1.8995,                0.90931,                0.02498,                0.66071,                0.48262,                0.42446,                0.61078,                 3.1297,                0.86966,             0.00017382,             0.00017382,             0.00017382
                     14,                0.71333,                 1.4387,                0.95433,                 0.0355,                0.79464,                0.66554,                 0.5925,                0.61883,                 3.0127,                0.87927,              0.0001862,              0.0001862,              0.0001862
                     15,                0.60886,                 1.4534,                0.94947,                0.04797,                0.95536,                0.88641,                 0.7796,                0.62294,                 2.8775,                0.88404,             0.00019843,             0.00019843,             0.00019843
