                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95823,                 3.5562,                  1.092,                0.00554,                0.51538,                0.29933,                0.17591,                 0.6668,                 3.5611,                0.96755,                      0,                      0,                      0
                      1,                 1.1458,                 3.6782,                 1.1246,                0.00551,                0.51538,                0.29865,                0.19644,                0.67076,                 3.5573,                0.96668,             1.4219e-05,             1.4219e-05,             1.4219e-05
                      2,                0.95308,                  3.547,                 1.0822,                 0.0054,                0.51538,                0.30742,                 0.2054,                0.67263,                 3.5554,                0.96866,             2.8297e-05,             2.8297e-05,             2.8297e-05
                      3,                 1.1062,                 3.4308,                 1.1665,                 0.0056,                0.51538,                0.28755,                0.22263,                0.64045,                 3.5505,                0.95586,             4.2233e-05,             4.2233e-05,             4.2233e-05
                      4,                0.76569,                 3.5104,                 1.0411,                0.00633,                0.52308,                0.31389,                0.23712,                0.61759,                 3.5435,                0.93606,             5.6028e-05,             5.6028e-05,             5.6028e-05
                      5,                0.72009,                 3.4198,                 1.0103,                0.00734,                0.53077,                0.37098,                0.30594,                0.61849,                 3.5258,                0.92489,             6.9682e-05,             6.9682e-05,             6.9682e-05
                      6,                 0.6412,                   3.16,                0.94817,                0.00835,                0.53846,                0.37049,                0.31699,                0.63802,                 3.5082,                0.91423,             8.3194e-05,             8.3194e-05,             8.3194e-05
                      7,                0.66592,                  3.092,                0.94958,                0.01078,                0.56923,                0.45896,                0.37278,                0.65509,                 3.4924,                0.90959,             9.6564e-05,             9.6564e-05,             9.6564e-05
                      8,                0.71531,                 3.0407,                0.93606,                0.01328,                    0.6,                0.47266,                0.40327,                0.66363,                 3.4622,                0.90234,             0.00010979,             0.00010979,             0.00010979
                      9,                0.72307,                  2.741,                0.95712,                0.01761,                0.66923,                0.52291,                0.45309,                0.65164,                 3.4099,                0.88669,             0.00012288,             0.00012288,             0.00012288
                     10,                0.82334,                 2.6639,                 1.0967,                0.02533,                0.78462,                0.62258,                0.53033,                0.65623,                 3.3324,                0.86769,             0.00013583,             0.00013583,             0.00013583
                     11,                0.70547,                 2.3736,                0.97851,                0.02817,                0.82308,                0.72639,                0.64335,                 0.6486,                 3.2526,                0.85152,             0.00014863,             0.00014863,             0.00014863
                     12,                0.68368,                 2.1226,                0.94428,                0.02872,                0.83077,                0.76173,                0.68231,                0.65206,                 3.1768,                0.84413,             0.00016129,             0.00016129,             0.00016129
                     13,                0.68038,                 1.8754,                 0.9348,                0.03099,                0.85385,                0.79619,                0.71033,                0.66187,                 3.1017,                0.83808,             0.00017382,             0.00017382,             0.00017382
                     14,                0.65777,                 1.4545,                0.95222,                0.03409,                0.88462,                0.83129,                0.73814,                0.64914,                 3.0155,                0.83455,              0.0001862,              0.0001862,              0.0001862
                     15,                0.71307,                 1.3791,                0.98209,                0.03878,                0.93077,                0.90613,                0.80954,                0.65489,                 2.9315,                0.84343,             0.00019843,             0.00019843,             0.00019843
                     16,                 0.5891,                  1.217,                0.93084,                0.04032,                0.93846,                0.91791,                0.83052,                0.64489,                 2.8449,                0.85514,             0.00021053,             0.00021053,             0.00021053
                     17,                0.71934,                 1.2202,                0.91176,                0.04032,                0.93846,                0.91791,                0.83052,                0.64489,                 2.8449,                0.85514,             0.00022249,             0.00022249,             0.00022249
                     18,                0.62621,                 1.1682,                0.88529,                0.04275,                0.93846,                0.91842,                 0.8283,                0.64431,                 2.7303,                0.86882,              0.0002343,              0.0002343,              0.0002343
                     19,                0.67037,                 1.0471,                0.93307,                0.04275,                0.93846,                0.91842,                 0.8283,                0.64431,                 2.7303,                0.86882,             0.00024597,             0.00024597,             0.00024597
                     20,                0.67825,                 1.1387,                0.97547,                0.59895,                0.93077,                0.92287,                0.83319,                0.67492,                 2.6321,                0.88028,             0.00025751,             0.00025751,             0.00025751
                     21,                0.62066,                0.90532,                 0.9522,                0.59895,                0.93077,                0.92287,                0.83319,                0.67492,                 2.6321,                0.88028,              0.0002689,              0.0002689,              0.0002689
                     22,                0.66939,                0.97044,                0.95216,                0.98693,                0.77685,                0.92735,                0.81845,                0.71168,                 2.5581,                0.88854,             0.00028014,             0.00028014,             0.00028014
                     23,                0.86335,                 1.5047,                 1.1035,                0.98693,                0.77685,                0.92735,                0.81845,                0.71168,                 2.5581,                0.88854,             0.00029125,             0.00029125,             0.00029125
                     24,                 0.6872,                0.90401,                0.91436,                      1,                0.33586,                0.92964,                0.82301,                0.72031,                 2.4904,                0.89678,             0.00030222,             0.00030222,             0.00030222
                     25,                 0.8123,                 1.0527,                0.95269,                      1,                0.33586,                0.92964,                0.82301,                0.72031,                 2.4904,                0.89678,             0.00031304,             0.00031304,             0.00031304
                     26,                0.66419,                0.88339,                0.93191,                      1,                0.25819,                0.93015,                0.83316,                0.70092,                 2.5436,                0.89853,             0.00032372,             0.00032372,             0.00032372
                     27,                0.76892,                0.91587,                0.94095,                      1,                0.25819,                0.93015,                0.83316,                0.70092,                 2.5436,                0.89853,             0.00033426,             0.00033426,             0.00033426
                     28,                0.70285,                0.92807,                0.93185,                      1,                0.22562,                 0.8807,                0.77522,                0.67672,                 2.7014,                0.90833,             0.00034466,             0.00034466,             0.00034466
                     29,                0.65652,                0.75089,                0.90325,                      1,                0.22562,                 0.8807,                0.77522,                0.67672,                 2.7014,                0.90833,             0.00035492,             0.00035492,             0.00035492
                     30,                0.68101,                0.86147,                0.92921,                      1,                0.22986,                0.86961,                0.76086,                0.66957,                 2.7119,                0.91087,             0.00036504,             0.00036504,             0.00036504
                     31,                0.69754,                0.81135,                0.92512,                      1,                0.22986,                0.86961,                0.76086,                0.66957,                 2.7119,                0.91087,             0.00037501,             0.00037501,             0.00037501
                     32,                0.73523,                0.92669,                0.97872,                      1,                0.51319,                 0.8571,                0.73712,                0.66336,                  2.765,                0.91456,             0.00038485,             0.00038485,             0.00038485
                     33,                 0.6214,                0.81989,                0.95145,                      1,                0.51319,                 0.8571,                0.73712,                0.66336,                  2.765,                0.91456,             0.00039454,             0.00039454,             0.00039454
                     34,                0.75751,                0.95417,                0.94621,                0.96156,                0.54375,                0.81052,                0.69501,                0.67576,                 2.8467,                0.92551,             0.00040409,             0.00040409,             0.00040409
                     35,                0.67934,                0.72494,                0.93304,                0.96156,                0.54375,                0.81052,                0.69501,                0.67576,                 2.8467,                0.92551,              0.0004135,              0.0004135,              0.0004135
                     36,                0.67048,                0.79856,                0.96132,                0.91364,                0.54971,                0.85683,                0.74965,                0.63814,                 2.7467,                0.92017,             0.00042277,             0.00042277,             0.00042277
                     37,                0.66018,                0.78007,                0.93169,                0.91364,                0.54971,                0.85683,                0.74965,                0.63814,                 2.7467,                0.92017,             0.00043189,             0.00043189,             0.00043189
                     38,                0.65943,                0.79955,                0.92658,                0.89727,                0.56671,                0.88845,                0.76365,                0.62612,                 2.6385,                0.91072,             0.00044088,             0.00044088,             0.00044088
                     39,                0.65013,                0.75171,                 0.9017,                0.89727,                0.56671,                0.88845,                0.76365,                0.62612,                 2.6385,                0.91072,             0.00044972,             0.00044972,             0.00044972
                     40,                0.63162,                0.90219,                0.93614,                0.90594,                0.56611,                0.89191,                0.77068,                0.60546,                 2.5516,                0.92065,             0.00045842,             0.00045842,             0.00045842
                     41,                0.63781,                0.72993,                0.93766,                0.90594,                0.56611,                0.89191,                0.77068,                0.60546,                 2.5516,                0.92065,             0.00046698,             0.00046698,             0.00046698
                     42,                 0.6667,                0.88352,                0.94138,                0.91068,                0.57244,                0.89604,                0.78469,                0.62538,                 2.5237,                0.91248,              0.0004754,              0.0004754,              0.0004754
                     43,                0.74209,                0.79355,                0.92446,                0.91068,                0.57244,                0.89604,                0.78469,                0.62538,                 2.5237,                0.91248,             0.00048368,             0.00048368,             0.00048368
                     44,                0.63984,                0.86109,                0.90675,                 0.9448,                0.64565,                0.91496,                0.79837,                0.62895,                 2.3054,                0.88818,             0.00049182,             0.00049182,             0.00049182
                     45,                0.63299,                0.77229,                0.88671,                 0.9448,                0.64565,                0.91496,                0.79837,                0.62895,                 2.3054,                0.88818,             0.00049981,             0.00049981,             0.00049981
